,index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,0,39,3,1,0,0,0,0,1,6,1,261,0,26,0,2,8,18,16,287,8,0
1,1,40,7,1,3,2,0,0,1,6,1,149,0,26,0,2,8,18,16,287,8,0
2,2,20,7,1,3,0,1,0,1,6,1,226,0,26,0,2,8,18,16,287,8,0
3,3,23,0,1,1,0,0,0,1,6,1,151,0,26,0,2,8,18,16,287,8,0
4,4,39,7,1,3,0,0,1,1,6,1,307,0,26,0,2,8,18,16,287,8,0
5,5,28,7,1,2,2,0,0,1,6,1,198,0,26,0,2,8,18,16,287,8,0
6,6,42,0,1,5,0,0,0,1,6,1,139,0,26,0,2,8,18,16,287,8,0
7,7,24,1,1,7,2,0,0,1,6,1,217,0,26,0,2,8,18,16,287,8,0
8,8,7,9,2,5,0,1,0,1,6,1,380,0,26,0,2,8,18,16,287,8,0
9,9,8,7,2,3,0,1,0,1,6,1,50,0,26,0,2,8,18,16,287,8,0
10,10,24,1,1,7,2,0,0,1,6,1,55,0,26,0,2,8,18,16,287,8,0
11,11,8,7,2,3,0,1,0,1,6,1,222,0,26,0,2,8,18,16,287,8,0
12,12,12,1,2,3,0,0,1,1,6,1,137,0,26,0,2,8,18,16,287,8,0
13,13,40,3,0,0,0,1,0,1,6,1,293,0,26,0,2,8,18,16,287,8,0
14,14,18,1,1,1,0,1,0,1,6,1,146,0,26,0,2,8,18,16,287,8,0
15,15,37,5,1,2,2,1,1,1,6,1,174,0,26,0,2,8,18,16,287,8,0
16,16,18,1,1,1,0,1,0,1,6,1,312,0,26,0,2,8,18,16,287,8,0
17,17,29,1,1,1,2,1,1,1,6,1,440,0,26,0,2,8,18,16,287,8,0
18,18,33,1,1,2,0,1,1,1,6,1,353,0,26,0,2,8,18,16,287,8,0
19,19,22,4,2,2,2,0,0,1,6,1,195,0,26,0,2,8,18,16,287,8,0
20,20,13,10,1,3,0,0,0,1,6,1,38,0,26,0,2,8,18,16,287,8,0
21,21,38,1,1,0,2,1,0,1,6,1,262,0,26,0,2,8,18,16,287,8,0
22,22,38,5,2,3,0,1,0,1,6,1,342,0,26,0,2,8,18,16,287,8,0
